year,tier,company_name,job_title,internship_stipend_raw,base_salary_raw,total_ctc_raw,cgpa_cutoff_raw,fte_only,remarks,internship_stipend,base_salary,total_ctc,cgpa_cutoff,has_internship,has_base,has_ctc,has_cgpa_cutoff,ctc_to_base_ratio,timestamp
2025,Tier 2,RSM USI,,,,,6.0,,,,,,6.0,False,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Fluidyn,,20000.0,,,7.5,,,0.2,,,7.5,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,DeltaX,,0.0,,,5.0,,,0.0,,,5.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Relx Group,,,,,7.0,,,,,,7.0,False,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,L7 Informatics,,25000.0,,3.25,8.5,,,0.25,,3.25,8.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Consuma,Analyst,40000.0,,6,6.5,,,0.4,,6.0,6.5,True,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Mphasis,,20000.0,,,7.0,,,0.2,,,7.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,PhData,Consultant,,,6.39,7.0,,,,,6.39,7.0,False,False,True,True,,2025-11-20 12:24:21.034360
2025,Tier 2,Hourglass,,20000.0,,,7.0,,,0.2,,,7.0,True,False,False,True,,2025-11-20 12:24:21.034360
2025,Tier 2,ConSecure,Software Engineer (Next-Gen Cybersecurity),20000.0,,,6.5,,,0.2,,,6.5,True,False,False,True,,2025-11-20 12:24:21.034360
