batch_year,college,company_name,job_role,tier,internship_stipend_monthly,base_salary,total_ctc,num_fte,num_intern,num_fte_intern,cgpa_cutoff,is_internship,has_ctc_data,has_base_data,has_cgpa_data
2022,PES,New Street Technologies Private Limited,Software Engineer,Tier-1,20.0,7.0,25.0,,10.0,,,False,True,True,False
2022,PES,Betterplace,"Associate Software 
Development Engineer",Tier-1,50.0,12.5,14.0,,4.0,,,False,True,True,False
2022,PES,Thinkerbell Labs,Software Dev,Tier-1,,,20.0,,,,,False,True,False,False
2022,PES,Finance Associate,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Business Associate,,Tier-1,,,,,,,,False,False,False,False
2022,PES,Business Dev (Intern),,Tier-1,,,,,,,,False,False,False,False
2022,PES,Web Development (Intern),,Tier-1,,,,,,,,False,False,False,False
2022,PES,Societe Generale,Software Engineer,Tier-1,,,13.12,16.0,,,,False,True,False,False
2022,PES,Sprinklr,Associate DevOps Engineer,Tier-1,40.0,10.0,10.0,1.0,2.0,,,False,True,True,False
2022,PES,Whatfix,"Associate Technical 
Implementation Consultant",Tier-1,35.0,8.0,9.0,,,,,False,True,True,False
2022,PES,Lookout,Software Engineer,Tier-1,,9.0,9.0,,,,,False,True,True,False
2022,PES,Medibuddy,SDE - 1,Tier-1,,9.0,16.25,,,,,False,True,True,False
2022,PES,Ninjacart,SDE,Tier-1,15.0,,12.0,,,,,False,True,False,False
2022,PES,Fractal Analytics,Imagineer,Tier-1,,7.5,10.5,,,,,False,True,True,False
2022,PES,Dover,Design Engineer,Tier-1,25.0,,11.0,,,,,False,True,False,False
2022,PES,Unbxd,Software Engineer,Tier-1,,9.0,11.0,,,,,False,True,True,False
2022,PES,Dell Technologies,Sales Operations Analyst,Tier-1,,,9.0,,,,,False,True,False,False
2022,PES,Symphonyai,Full-Stack Developer,Tier-1,,,11.0,,,,,False,True,False,False
2022,PES,Zwayam,Software Engineer,Tier-1,,,12.5,1.0,,,,False,True,False,False
2022,PES,Trilogy Innovations,SDE,Tier-1,,30.0,36.5,,,,,False,True,True,False
2022,PES,Kreditbee,Software Engineer,Tier-1,,8.0,10.0,,,,,False,True,True,False
2022,PES,Amazon,SDE,Tier-1,,15.5,25.0,,,,,False,True,True,False
2022,PES,Verse,ML Engineer,Tier-1,,,12.0,,,,,False,True,False,False
2022,PES,Instawork,SDE,Tier-1,,,12.0,,,,,False,True,False,False
2022,PES,Unbxd,Software Engineer,Tier-1,,9.0,11.0,,,,,False,True,True,False
2022,PES,Landmark Group,Trainee Data Scientist,Tier-1,,8.5,9.0,,,,,False,True,True,False
2022,PES,Bain & Company,Analyst,Tier-1,,8.1,10.0,2.0,,,,False,True,True,False
2022,PES,Netradyne,Software Engineer,Tier-1,25.0,11.0,11.5,,,,,False,True,True,False
2022,PES,Kyndryl,Automation Engineer,Tier-1,,,11.5,,,,,False,True,False,False
2022,PES,Prosimo,Member of Technical Staff,Tier-1,,,15.0,,,,,False,True,False,False
2022,PES,Palo Alto Networks,Software Engineer,Tier-1,,14.5,27.0,,,,,False,True,True,False
2022,PES,Tila.Com,Associate Software Engineer,Tier-1,40.0,,18.0,,,,,False,True,False,False
2022,PES,Infinera,SDE,Tier-1,,11.0,11.55,,,,,False,True,True,False
2022,PES,Oaknorth,Associate Technology Analyst,Tier-1,,7.0,12.0,,,,,False,True,True,False
2022,PES,Synopsys,SDE,Tier-1,,11.75,15.03,,,,,False,True,True,False
2022,PES,Infoedge (Female Only),Software Engineer,Tier-1,,,15.0,,,,,False,True,False,False
