Year,College,Company,Date_OA,Offline_Test,Tier,CTC_LPA,Base_LPA,Internship_Stipend_Monthly_INR,Role,Type,Total_Offers,CGPA_Cutoff,Allows_ECE,Allows_MCA,Allows_MTech_CS,Comments,Source_File
2025,PES,Johns Lang LaSalle Technology (JLLT),04-10-2024,TRUE,Tier 2,8,,800000,SDE Intern,Internship (PBC),9,8,FALSE,FALSE,FALSE,"Shortlisted 70 for GD, 24 Shortlisted for 1st interview. 2 rounds in total (Tech, Hr). SQL, Python asked. OA was Aptitude, SQL Mcqs, python mcqs",Cross-College companies info - PES.csv
2025,PES,Volvo (T2),19-10-2024,FALSE,Tier 2,7.5,,750000,,,,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Dezerv,05-10-2024,FALSE,Tier 1,16,15,75000,Software Engineer,FTE + Intern,5,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Confluent,16-10-2024,FALSE,Tier 1,,,100000,4 Roles (Data Engineering Intern Business Intelligence Intern Cloud Infrastructure Engineer Intern Applications Engineer Intern),Internship (PBC),1,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Apple India (for 2 roles),20-09-2024,FALSE,Tier 1,,,80000,"2 Roles - Wireless Engineering Intern, Software Engineering & Machine Learning Intern",Internship (PBC),1,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Cars24,18-10-2024,TRUE,Tier 1,12,10,30000,SDE 1,FTE + Intern,15,8,FALSE,FALSE,FALSE,"Special Shortlist made, OA, 2 rounds interview. Increased Package from 10CTC to 12 CTC thus making it T1 later",Cross-College companies info - PES.csv
2025,PES,MediBuddy,05-10-2024,FALSE,Tier 1,,,25000,SDE Intern,Internship (PBC),0,8.5,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Aruva.io,05-10-2024,FALSE,,,,,,,,,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Deloitte India,16-10-2024,FALSE,Tier 2,7.6,,760000,6 Roles,FTE + Intern,31,6,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
2025,PES,Thorogood Associates,05-10-2024,FALSE,Tier 1,14.81,8,150000,Data & Ai Consultant (Data Cleaning),FTE,2,8,FALSE,FALSE,FALSE,,Cross-College companies info - PES.csv
